legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeRaw,segmentsArrivalTimeRaw,segmentsAirlineName,segmentsAirlineCode,segmentsCabinCode
4a55baac-e67b-475a-95cb-9c7fffda2507,2025-08-28,2025-09-04,ATL,BOS,FARE371,PT3H2M,7,1,1,1,101.32,123.88,8,746,2025-09-04T10:30:00,2025-09-04T13:32:00,JetBlue Airways,B6,business
990a38e2-5723-4f9d-b215-fa4bbe8e61fb,2025-08-28,2025-09-06,ATL,BOS,FARE127,PT2H46M,9,0,1,0,220.21,265.54,3,826,2025-09-06T12:30:00,2025-09-06T15:16:00,American Airlines,AA,coach
930eb437-87d9-4f50-8d73-6b03801430e5,2025-08-28,2025-08-31,ATL,BOS,FARE748,PT5H32M,3,1,1,0,433.04,471.63,9,318,2025-08-31T08:15:00,2025-08-31T13:47:00,United,UA,business
ec5d5b4a-a391-4cc6-a095-7237fa59ef19,2025-08-28,2025-09-21,LAX,JFK,FARE631,PT2H8M,24,0,1,0,198.29,241.07999999999998,2,1248,2025-09-21T16:30:00,2025-09-21T18:38:00,American Airlines,AA,business
fa78bdc4-2756-473a-a45b-7fe1ead252a0,2025-08-28,2025-09-17,LAX,JFK,FARE287,PT4H38M,20,0,0,0,423.76,447.87,7,1631,2025-09-17T11:00:00,2025-09-17T15:38:00,United,UA,business
cb35099e-efc7-485c-a43c-c6bb2a207d5b,2025-08-28,2025-09-02,LAX,JFK,FARE335,PT4H12M,5,1,0,1,247.56,295.98,5,1936,2025-09-02T17:00:00,2025-09-02T21:12:00,United,UA,coach
29e1cf6a-216d-4117-9fa1-359cfef9ae0d,2025-08-28,2025-09-07,SFO,ORD,FARE369,PT1H34M,10,0,1,1,499.02,536.55,2,295,2025-09-07T08:30:00,2025-09-07T10:04:00,United,UA,business
bdab97b8-6676-4b4d-b292-b8086c82b40c,2025-08-28,2025-09-19,SFO,ORD,FARE225,PT3H6M,22,0,1,1,476.57,519.98,3,313,2025-09-19T09:15:00,2025-09-19T12:21:00,JetBlue Airways,B6,coach
d3d9780e-2d06-40e7-aca4-cb5a82bc5119,2025-08-28,2025-09-14,SFO,ORD,FARE846,PT3H3M,17,1,1,1,146.09,185.87,1,1316,2025-09-14T06:30:00,2025-09-14T09:33:00,United,UA,coach
e60a3a56-7a90-4803-a391-256b8c091632,2025-08-28,2025-09-10,MIA,DFW,FARE275,PT4H16M,13,0,0,0,214.62,238.14000000000001,4,1398,2025-09-10T07:30:00,2025-09-10T11:46:00,American Airlines,AA,business
2864f972-3b4c-4af5-939b-a0d2ed4d37f3,2025-08-28,2025-09-19,MIA,DFW,FARE627,PT3H54M,22,0,0,0,322.23,356.46000000000004,5,675,2025-09-19T09:30:00,2025-09-19T13:24:00,Delta,DL,coach
8fffad4c-4bc8-4225-8ff7-100275c34378,2025-08-28,2025-09-07,MIA,DFW,FARE249,PT2H54M,10,0,0,0,212.46,259.42,3,1032,2025-09-07T19:30:00,2025-09-07T22:24:00,United,UA,coach
54c43f25-107f-4f76-8de4-0224938a84f9,2025-08-29,2025-09-08,ATL,BOS,FARE529,PT4H51M,10,1,1,0,294.95,334.03,7,431,2025-09-08T15:00:00,2025-09-08T19:51:00,JetBlue Airways,B6,coach
dfa22004-6dbc-4afa-b3e7-652c781b3714,2025-08-29,2025-09-08,ATL,BOS,FARE555,PT3H18M,10,1,0,0,381.71,416.44,7,487,2025-09-08T06:30:00,2025-09-08T09:48:00,American Airlines,AA,coach
190a8861-b1e5-4285-a210-6d6edb016d62,2025-08-29,2025-09-21,ATL,BOS,FARE619,PT4H4M,23,0,1,1,351.44,383.08,10,1241,2025-09-21T06:30:00,2025-09-21T10:34:00,Delta,DL,coach
